問題No,難易度,問題,選択肢1,選択肢2,選択肢3,選択肢4,正解,コメント
C-36,C,"サークル代表者会議が定足数に満たず開催できない場合、後日何を行って議決とすることができるか？","議長による決定","執行委員会による決定","投票","再度の会議招集（定足数不要）",3,"第21回総会議案「サークル代表者会議における投票」に記載があります。"
C-37,C,"サークル代表者会議の議長は、会議開催の告知を少なくとも何週間前までに行わなければならないか？","3日前","1週間前","2週間前","1ヶ月前",2,"第21回総会議案の6-1に「開催の少なくとも一週間前から」とあります。"
C-38,C,"大学未公認団体が学内で宣伝活動を行う場合、執行委員会への届け出の他に何が必要か？","会計委員会の承認","サークル代表者会議の承認","学校の承認","何も必要ない",3,"宣伝広報活動に関する細則 第1条に「かつ学校の承認を得なければならない」とあります。"
C-39,C,"第17回総会の議案によると、前年度決算に係る資金運営に対する責任は、いつをもって免除されるか？","当該年度の決算報告が行われた時点","次年度の予算が成立した時点","本年度決算が総会において承認された時点","責任は永久に免除されない",3,"第17回総会議案の本文4に記載されています。"
C-40,C,"第19回総会で定められたサークル援助金決定方法によると、援助金額の折衝を行うのは誰か？","会計委員長","執行委員長","各サークルの代表者同士","サークル代表者会議で選ばれた折衝係",4,"第19回総会議案の本文7に記載があります。"
C-41,C,"総会の議事録（保存版）には、誰の署名が必要か？","総会議長","執行委員長","当該総会書記代表者","会計委員長",3,"第34回総会議案の本文3に記載があります。"
C-42,C,"サークルが公認されるために必要な構成員の条件として、学友会員5人以上に加え、誰が在籍している必要があるか？","本学二年生","本学一年生","大学院生","留学生",2,"サークルに関する細則 第2条に「公認は構成員に学友会員が５人以上さらに、本学一年生が在籍することが必要である」とあります。"
C-43,C,"総会に関する細則における「議長委任状」の票は、どのように扱われるか？","常に賛成票として加算される","常に反対票として加算される","決議における多数意見側の票数に加算される","無効票として扱われる",3,"総会に関する細則 第12条に記載があります。"
C-44,C,"総会の有効決議録の保管期間はどう定められているか？","6年間","10年間","その決議が総会において削除されない限り","永久に",3,"総会に関する細則 第23条に記載があります。"
C-45,C,"学友会員が休学による権利延長を申請できるのは、いつまでか？","休学開始後1ヶ月以内","休学する前日まで","復学時","いつでも申請できる",2,"学友会員の権利における細則 第1条に「休学する前日までに」とあります。"
C-46,C,"耐久消費財のリストは、原本をどこが保管するか？","当該機関","執行委員会","会計委員会","総会議長",3,"第42回総会議案の3に「原本は会計委員会が保管するものとする」とあります。"
C-47,C,"第18回総会の議案によると、会計委員会が調布祭実行委員会などの内部留保金を返還させるには、何が必要か？","執行委員長の承認","総会での承認","会計委員長の独断","当該機関の長の同意",2,"第18回総会議案の本文に「その際は総会で承認を得るものとする」とあります。"
C-48,C,"使途不明金の処理において、原則として行わないと定められていることは何か？","原因の追求","総会での報告","役員またはその他の人間の補填による処理","改善方法の話し合い",3,"第20回総会議案の本文1に記載があります。"
C-49,C,"第23回総会の議案により、第1回から第7回総会までの可決議案のうち、有効決議録を作成しなくてもよいとされた議案はどれか？","会則の基本則及び細則に関する議案","予算･決算･サークル公認･取消に関するもの","全ての議案","会計に関する全ての議案",2,"第23回総会議案の本文1に記載があります。"
C-50,C,"サークル代表者会議の議長への連絡無く代表者も代理人も出席しなかった場合、議長はそのサークルの援助金をどうすることができるか？","半額に減額できる","年度単位で0円として会議に申請できる","翌年度の援助金を停止できる","罰金を科すことができる",2,"第21回総会議案「サークル代表者会議への出席義務」に記載があります。"
C-51,C,"正副執行委員長を公募するのは誰の職務か？","総会議長","会計委員長","執行委員会","サークル代表者会議",3,"基本則 第12条2項に「執行委員会は、総会開催の21 日前までに、正副執行委員長を公募しなければならない」とあります。"
C-52,C,"サークル代表者会議の代理人は、どのような人から選ばなければならないか？","学友会員であれば誰でもよい","同一サークルに所属する人","他のサークルの代表者","執行委員会の委員",2,"第21回総会議案「サークル代表者代理人の扱い」に「同一サークルに所属する人の中から代理人を立てることが出来る」とあります。"
C-53,C,"会計委員会の耐久消費財を破棄処分する際、誰の承認を得る必要があるか？","会計委員長","執行委員長","総会","不要",2,"第42回総会議案の6に「会計委員会のものに関しては執行委員長の承認を得ること」とあります。"
C-54,C,"サークル代表者会議に出席できない代表者が、代理人を立てられない場合にすべきことは何か？","会議を欠席する","後日議事録を確認する","事前に議長に連絡する","他の代表者に議決を委ねる",3,"サークルに関する細則 第12条4項に「代理人を立てられない場合は事前に議長に連絡しなければならない」とあります。"
C-55,C,"使途不明金の報告・話し合い等を行わなければならない期限はいつまでか？","発覚後1ヶ月以内","次の総会まで","当該年度の決算作成まで","特に定められていない",3,"第20回総会議案の本文5に「使途不明金の発生した年度の決算作成までには行うこと」とあります。"
C-56,C,"1991年度使途不明金処理で、2つあった郵便口座のうち、利息が雑収入に組み込まれたのはどちらの口座か？","1つ目の口座","2つ目の口座","両方の口座","どちらでもない",1,"第20回総会議案「1991年度使途不明金誓約書・返還金処理案」の本文に「1つ目の口座についた受け取り利息を今年度の雑収入として組み込むものとした」とあります。"
C-57,C,"第19回総会議案「サークル援助金決定方法に関する議案」は、いつ以降のサークル援助金に対して効力を発揮するか？","平成9年度","平成10年度","議案成立の年度","翌々年度",2,"第19回総会議案の本文9に「この議案は平成10年度以降のサークル援助金に対して効力を発揮する」とあります。"
C-58,C,"総会で可決された予算や決算報告は、誰が公示する義務を負うか？","執行委員長","会計委員長","総会議長","サークル代表者会議議長",2,"第17回総会議案の本文2に「会計委員長は…承認された本予算、および総会において承認された決算報告を公示する」とあります。"
C-59,C,"サークル代表者会議で投票を行う際、議長が全サークルに告知しなければならない情報に含まれないものはどれか？","投票により決定する議題","投票期日","投票方法","各サークルの投票予定",4,"第21回総会議案の6-2に告知すべき内容が列挙されていますが、「各サークルの投票予定」は含まれません。"
C-60,C,"第34回総会議案によると、保存版の議事録は会則で定められた期間を過ぎてもどうすべきか？","直ちに破棄する","可能な限り保存する","マイクロフィルム化する","デジタル化してクラウドに保存する",2,"第34回総会議案の本文に「会則で定められた期間をすぎても可能な限り保存する」とあります。"
C-61,C,"サークルが準公認を取り消されるケースとして、条文に挙げられていない理由はどれか？","活動目的に則した活動を行っていない","指定の提出物を提出していない","部員同士の仲が悪い","本会が公認するのにふさわしくない",3,"サークルに関する細則 第5条に取消理由が列挙されていますが、「部員同士の仲が悪い」は含まれていません。"
C-62,C,"耐久消費財の修理・購入で会計委員長と連絡が取れない場合に執行委員長の承認で支出した後、いつまでに会計委員長へ報告が必要か？","直ちに","購入後一週間以内に","次の総会までに","報告は不要",2,"第42回総会議案の4に「会計委員長への報告を購入後一週間以内に行うこと」とあります。"
C-63,C,"執行委員長が、総会の終了時刻をあらかじめ設定する議長の権利を侵害した場合、どうなるか？","議長は執行委員長を解任できる","総会は無効となる","議長は異議を唱えることができる","会則に明確な規定はない",4,"議長の権利（総会に関する細則第6条）を執行委員長が侵害した場合の罰則規定は、提供された文書には見当たりません。これは規則の不備とも言えます。"
C-64,C,"有効となる個人委任状に記載が必要で、議長委任状には不要な項目は何か？","総会開催年月日","委任者の所属及び氏名","被委任者の所属及び氏名","委任した年月日",3,"総会に関する細則 第9条で、iv「被委任者の所属及び氏名」は「個人委任状の場合」と限定されています。"
C-65,C,"基本則第14条で、執行委員長が欠員となった場合の対応として定められていないものはどれか？","副執行委員長が職務を代行する","すみやかに臨時総会を開催する","新たな正副執行委員長を任命する","会計委員長が臨時代行する",4,"基本則 第14条に記載されている選択肢は、副執行委員長の代行か、臨時総会での新委員長任命です。「会計委員長が臨時代行する」は含まれていません。"
C-66,C,"サークル代表者会議議長団の罷免要求が受理された場合、議長団員はどうなるか？","警告を受ける","任期が半年短縮される","罷免される","サークル代表者の資格を失う",3,"サークルに関する細則 第9条5項に「議長団員は罷免される」とあります。"
C-67,C,"第23回総会の決定で、第1回から第7回総会までの可決議案のうち、「その他の議案」はどうなったか？","全て有効とされた","全て失効とされた","個別に審議されることになった","記録が破棄された",2,"第23回総会議案の本文3に「その他の議案については全て失効とする」とあります。"
C-68,C,"サークル代表者会議において、議長が本会各機関の役員に対して出席を要請できるのはどのような場合か？","議長が必要であると判断した場合","サークル代表者の過半数が要求した場合","執行委員会が指示した場合","常に要請できる",1,"サークルに関する細則 第13条に「議長が必要であると判断した場合」と記載されています。"
C-69,C,"第47回総会で決まった、公認サークルの準公認格下げに関する条文が効力を発揮するのはいつからか？","議案可決と同時","平成24年4月1日","翌年度の総会から","執行委員会が定めた日",2,"第47回総会議案の本文に「本議案は、平成24年4月1日より効力を発揮する」とあります。"
C-70,C,"第19回総会議案で、サークル援助金の額を最終的に決定する機関はどこか？","会計委員会","執行委員会","サークル代表者会議","総会",3,"第19回総会議案の本文8に「サークル代表者会議で各サークルに対する援助金額を決定する」とあります。"
C-71,C,"本会の会計事務に必要なことを行う専権を持つ機関は何か？","執行委員会","会計委員会","総会","サークル代表者会議",2,"基本則 第17条に会計委員会の職務として「その他、本会の会計事務に必要なことを行う」とあり、これが会計監査と共に専権事項とされています。"
C-72,C,"総会議長は、副議長及び書記をどこから指名するか？","執行委員会の中から","サークル代表者の中から","会場内にいる総会出席会員の中から","公募する",3,"総会に関する細則 第6条に「会場内にいる総会出席会員の中から副議長及び書記を指名し」とあります。"
C-73,C,"耐久消費財のリストの変更項目は、どこに記載して報告されるか？","学友会誌「群青」","決算報告書類上","執行委員会の掲示板","学友会ウェブサイト",2,"第42回総会議案の8に「決算報告書類上に併せて各機関のリストの変更した項目を記載し、報告する」とあります。"
C-74,C,"学友会員が休学申請を行う際に提示する「休学願の控え」に必要なものは何か？","本人の署名","指導教員の署名","会計委員長の署名","教務課の受領印",4,"学友会員の権利における細則 第2条に「教務課の受領印が押されたものに限る」とあります。"
C-75,C,"サークル代表者でない者がサークル代表者会議に参加し意見を述べるには、誰の許可が必要か？","執行委員長","会計委員長","議長","出席代表者の過半数",3,"サークルに関する細則 第13条に「議長が認めた場合、その会議に参加し意見を述べることができる」とあります。"
C-76,C,"予備費の支出は、誰が承認し、誰が支出するか？","執行委員長が承認し、会計委員長が支出する","会計委員長が承認し、執行委員長が支出する","総会が承認し、執行委員長が支出する","執行委員長が承認し、自身で支出する",2,"基本則 第22条に「予備費は会計委員長が承認し執行委員長が支出する」と明記されています。"
C-77,C,"第17回総会議案で、失効が明記された「学友会決算報告の承認に関する決議」は、第何回総会で可決されたものか？","第5回総会","第7回総会","第9回総会","第12回総会",2,"第17回総会議案の補足に「第7回総会において可決した…」と明記されています。"
C-78,C,"総会で審議される決算に計上される「次年度繰越額」の計算式として正しいものはどれか？","総収入額 － 総支出額","前年度繰越額 ＋ 総収入額 － 総支出額","総収入額 ＋ 総支出額","前年度繰越額 － 総支出額",2,"第17回総会議案の7.4に「本会の次年度繰越額とは、本会の前年度繰越額に総収入額を加え、本会の総支出額を差し引いた額である」とあります。"
C-79,C,"サークル代表者会議で援助金が決定できない場合、その援助金はどうなるか？","支給されず、国庫に返納される","支給されず、次年度へ繰り越される","議長の判断で分配される","執行委員会が分配する",2,"サークルに関する細則 第18条に「その援助金は原則として次年度へ繰り越される」とあります。"
B-1,B,"基本則を改正または廃止するために必要な総会での賛成数はどれか？","会員の十分の一を超える賛成数","会員の六分の一を超える賛成数","会員の五分の一を超える賛成数","出席会員の過半数の賛成数",3,"基本則 第5条に定められています。細則改正の「六分の一」（第6条）と混同しないかがポイントです。"
B-2,B,"総会の決議における票の扱いについて、正しい記述はどれか？","個人委任状は場内票に含まれ、議長委任状も場内票に含まれる。","規定数を超えた個人委任状は、全て議長委任状として扱われる。","個人委任状は場内票に含まれるが、議長委任状は場内票に含まれない。","議長団の票は、個人委任状として扱われる。",3,"総会に関する細則 第11条4項と第12条3項を組み合わせる必要があります。"
B-3,B,"サークルが「公認」されるための構成員の要件として、正しいものはどれか？","学友会員が5人以上在籍していること。","学友会員が5人以上在籍し、さらに本学一年生が在籍していること。","構成員に本学一年生が5人以上在籍していること。","構成員全員が学友会員であること。",2,"サークルに関する細則 第2条の「準公認」と「公認」の要件の違いを正確に理解しているかを問う問題です。"
B-4,B,"予算に含まれる「内部留保予算」の取り崩しについて、正しい記述はどれか？","執行委員長の判断で自由に取り崩せる。","会計委員長の承認があれば取り崩せる。","予備費を除き、総会の決議を必要とする。","いかなる場合も取り崩すことはできない。",3,"第17回総会議案の6.4に「予備費を除いて総会の決議を必要とする」とあり、例外規定まで含めて理解しているかが問われます。"
B-5,B,"使途不明金が発生した機関が会計委員会である場合、改善方法の話し合いは誰と行わなければならないか？","その機関内で話し合えばよい","総会議長","執行委員長","サークル代表者会議議長",3,"第20回総会議案の本文3に「会計委員会の場合は、会計委員長のかわりに執行委員長がこれを行う」という例外規定があり、これを読み取れるかがポイントです。"
B-6,B,"会計委員会の耐久消費財を修理・購入する場合、誰の承認が必ず必要か？","執行委員長","会計委員長","副執行委員長","承認は不要",1,"第42回総会議案の4に「会計委員会の耐久消費財は執行委員長の承認を必ず得ること」と明確に記載されています。他の機関の原則（会計委員長の承認）とは異なる例外規定を問う問題です。"
B-7,B,"サークル代表者会議における投票で議決を行う場合、有効となるための条件はどれか？","全サークル代表者の過半数が投票すること。","有効投票数がサークル代表者数の三分の二以上であること。","投票率に関わらず、投票したサークルの過半数で決すること。","有効投票数が定足数に達していること。",2,"第21回総会議案「サークル代表者会議における投票」に「有効投票数がサークル代表者数の三分の二以上でなければ無効とする」とあります。「過半数で決する」というルールと混同しないかがポイントです。"
B-8,B,"第17回総会の議案によって失効したと明記されていない議案はどれか？","第7回総会「学友会決算報告の承認に関する決議」","第16回総会「本会の予算及び決算の原則に関する決議」","第9回総会「サークル援助金配布方法に関する議案」","第16回と第7回の両方",3,"第17回総会議案の補足に失効する議案が明記されています。「サークル援助金配布方法に関する議案」は第19回総会の議案で失効します。"
B-9,B,"総会で正副執行委員長が任命されなかった場合、どうなるか？","会計委員長が臨時に職務を代行する。","その総会を開いた正副執行委員長が引き続き職務を行う。","直ちに再度公募を行い、臨時総会を開く。","学友会は一時的に活動を停止する。",2,"基本則 第3章 第12条7項に定められています。"
B-10,B,"学友会公認サークルが、構成員4人で全員が学友会員の場合、準公認に格下げされるか？","格下げされる。","格下げされない。","総会の判断による。","一年間の猶予が与えられる。",2,"サークルに関する細則 第5条の2のただし書き「サークル構成員が5人未満のサークルの場合、その構成員全員が学友会員だった場合に限り、これに当てはまらない」という例外規定を理解しているかが問われます。"
B-11,B,"予備費を支出できるのはどのような場合か？","予算が不足したあらゆる場合","不測の事態によって本会の運営上支出の必要が急務である場合","各機関の備品購入のため","イベントの赤字補填のため",2,"第17回総会議案の6.5に予備費の目的が定義されています。他の選択肢も可能性はありますが、最も正確な定義を問うています。"
B-12,B,"新入生歓迎期間中の宣伝広報活動の管理は、どの機関が一任されるか？","執行委員会","新入生歓迎実行委員会","サークル代表者会議","大学当局",2,"宣伝広報活動に関する細則 第2条の例外規定を読み取れるかがポイントです。原則は執行委員会ですが、期間中は管理が移ります。"
B-13,B,"議長団宛に提出された個人委任状は、どのように扱われるか？","無効となる。","議長委任状として扱われる。","提出者に返却される。","そのまま個人委任状として議長が票を預かる。",2,"総会に関する細則 第11条3項に明記されています。委任状の種類の変化を問う問題です。"
B-14,B,"耐久消費財を紛失した機関が、総会で報告を怠った場合、どのようなペナルティがあるか？","罰金が科せられる。","機関の長が罷免される。","次回総会以降、1年間代替品を購入できない。","当該機関の予算が削減される。",3,"第42回総会議案の7-4に記載されている具体的なペナルティ内容を正確に把握しているか問います。"
B-15,B,"過去の決算報告に問題が見つかった場合、責任追及はいつまで可能か？","本年度決算が承認されたら、それ以降は一切追及できない。","本年度決算可決より以前に明らかになった問題に対しては、継続して追及できる。","時効はなく、いつでも追及できる。","問題が明らかになってから1年以内なら追及できる。",2,"第17回総会議案の本文4のただし書きを理解しているか問われます。原則と例外の関係を把握する問題です。"
B-16,B,"1991年度使途不明金に関して、会計委員長からの返還金20,000円はどう処理されたか？","会計委員長に返還された。","雑収入に組み込まれた。","そのまま学友会費にとどめられた。","郵便口座に保管されたままになった。",3,"第20回総会の「1991年度使途不明金誓約書・返還金処理案」という非常に個別具体的な議案の内容を問う問題です。"
B-17,B,"サークル代表者会議の議長が権限を行使する前に、対象となるサークルに対して行わなければならないことは何か？","総会で承認を得ること。","執行委員長に報告すること。","「その権限を使用する旨」を確実な方法で連絡すること。","特に何もしなくてよい。",3,"第21回総会議案の6-4に記載されている、議長の権限行使の前提条件を問う問題です。"
B-18,B,"総会の議事録が作成されるまでの間、議事録を補うものとして認められていないのはどれか？","録音媒体","総会書記による記録","議長の個人的なメモ","録音媒体と書記記録の両方",3,"第34回総会議案の本文5に「録音媒体と総会書記による記録は、議事録が作成されるまでの間これを補う」とあります。「議長のメモ」は含まれません。"
B-19,B,"予備費から耐久消費財の費用を執行する際、金額の参考とされるものは何か？","見積書","購入時のレシート","正式な領収書","担当者の申告額",3,"第42回総会議案の9に「正式な領収書のみを参考とする」と明記されています。"
B-20,B,"サークルの正式名称について、どのようなものが望ましいとされているか？","アルファベットのみの名称","「～委員会」のような名称","活動目的に則した名称","ユーモアのある名称",3,"サークルに関する細則 第2条に「活動目的に則することが望ましい」とあります。「～委員会」は避けるべきとされています。"
B-21,B,"準公認サークルの有効期間を過ぎた場合、そのサークルはどうなるか？","自動的に公認サークルに昇格する。","総会で議決されるまで準公認期間が延長される。","総会で議決されることなく準公認を取り消される。","執行委員会が存続を判断する。",3,"サークルに関する細則 第5条のただし書きに明記されています。"
B-22,B,"第42回総会議案「耐久消費財に関する議案」の成立により、失効した議案はどれか？","第16回総会「本会の会計管理に対する原則」案","第20回総会「高額耐久消費財に関する議案」","第21回総会「サークル代表者会議に関する補則」","第23回総会「総会の議事録の保存方法及び公表に関する議案」",2,"第42回総会議案の末尾に失効する議案が明記されています。過去の議案との関連性を問う問題です。"
B-23,B,"総会において、サークルの承認・取り消しに関する議案は、どの程度の優先順位で審議されるか？","最も優先される。","学友会全体、予算・決算に関する議案の次に審議される。","最も後回しにされる。","優先順位は特に定められていない。",2,"総会に関する細則 第19条に定められた3つの優先順位を正確に記憶しているか問います。"
B-24,B,"ある学友会員が、他の会員3人から個人委任状を預かってきた。この委任状の扱いはどうなるか？","3人分すべて有効となる。","3人分すべて無効となる。","規定数（2人分）を超えているため、委任者の確認が取れない限り破棄される。","最初の2人分だけ有効となる。",3,"総会に関する細則 第11条2項の規定を具体的な事例に当てはめて考える問題です。"
B-25,B,"休学による権利延長の制度について、対象となる休学の種類として正しいものはどれか？","病気や経済的理由による休学のみ","留学に伴う休学のみ","ボランティア活動のための休学は対象外","留学に伴う休学を含む、全ての休学",4,"学友会員の権利における細則 第1条に「休学（留学に伴う休学を含む）」とあり、特に除外規定はないため、全ての休学が対象と解釈できます。"
B-26,B,"耐久消費財のリスト更新は、どのくらいの頻度で行われるか？","半年に一回","各年度一回","二年に一回","必要に応じて随時",2,"第42回総会議案の8に「各年度一回、各機関の耐久消費財のリストの更新を行う」とあります。"
B-27,B,"前年度から繰り越した資金の総額を指す会計用語は何か？","総収入額","前年度仮決算報告","前年度繰越額","内部留保予算",3,"第17回総会議案の5.1に定義されています。他の紛らわしい用語と区別できるかがポイントです。"
B-28,B,"サークル代表者会議で、やむを得ず代表者が出席できない場合に立てる代理人についての記述で正しいものはどれか？","代理人はどのサークルのメンバーでもよい。","代理人は複数のサークルの代理人を兼任できる。","代理人はサークル代表者と同等に扱われる。","代理人を立てるのに議長の許可が必要である。",3,"サークルに関する細則第12条に「その際代理人はサークル代表者と同等に扱われる」とあります。"
B-29,B,"総会で可決された予算修正案がある場合、「本予算」にあたるものはどれか？","修正前の予算","修正後の予算","修正前後の予算両方","どちらも本予算ではない",2,"第17回総会議案の7.1に「総会において予算修正が行われた場合、修正後の予算が本予算にあたる」と明記されています。"
B-30,B,"使途不明金の報告及び改善に関する話し合いを怠った機関に対し、責任追及や補填を求めることができるのは誰か？","総会議長","会計委員長または、執行委員長","サークル代表者会議議長","全学友会員の投票",2,"第20回総会議案の本文4に記載されています。"
B-31,B,"公聴会に出席した会員でない者は、どのような条件下で意見を述べることができるか？","どのような条件下でも意見は述べられない。","執行委員長が認めた場合。","会場の会員の過半数が認めた場合。","公聴会のテーマに直接関係がある場合。",2,"公聴会に関する細則第2条に明記されています。"
B-32,B,"総会で審議される本会の決算に、計上する必要がないとされている項目はどれか？","本予算","前年度繰越額","内部留保予算","支出決算",3,"第17回総会議案の7に決算に計上する内容が列挙されています。「内部留保予算」は予算の項目であり、決算には含まれません。"
B-33,B,"サークル代表者会議の議長団の任期はどれだけか？","半年","1年","2年","次の議長が選出されるまで",2,"サークルに関する細則第9条に「議長団の任期は１年とする」とあります。"
B-34,B,"総会の録音媒体に関して、第34回総会の議案で定められた扱いで正しいものはどれか？","議事録作成後は直ちに破棄する。","議事録と合わせて6年間保管する。","議事録が作成されるまでの間、それを補うものとする。","議事録とみなし、永久に保存する。",3,"第34回総会議案の本文5に明記されています。"
B-35,B,"本会の支出は、どのような形で決議されなければならないか？","執行委員会の承認","会計委員会の承認","予算の形式で、総会で決議","支出の都度、総会で決議",3,"基本則第20条に「本会の支出は予算の形式で、総会で決議されなければならない」とあります。"
B-26,B,"第21回総会議案の可決により失効したと明記されている議案はどれか？","第9回総会「サークル援助金配布方法に関する議案」","第12回総会「総会における議案提出及び修正方法に関する議案」","第13回総会「サークル代表者会議不在者投票に関する覚書」","第16回総会「本会の会計管理に対する原則」",3,"第21回総会議案の末尾に記載されています。"
B-37,B,"会計年度中に支出を行わない予定の予算項目は、どこに計上しなければならないか？","支出予算","収入予算","予備費","内部留保予算",4,"第17回総会議案の6.4に「全て内部留保予算に計上しなければならない」とあります。"
B-38,B,"サークル援助金の決定において、会計委員会が最初に行う役割は何か？","各サークルと金額を折衝する。","援助可能な項目の基準を示す。","各サークルへの援助金額を決定する。","領収書を承認する。",2,"第19回総会議案の本文2に記載されています。プロセスの順序を問う問題です。"
B-39,B,"総会議事録の保存版ではない「複製版」は何のために用意されるか？","会計監査用","公表用","執行委員会内の閲覧用","破棄用",2,"第34回総会議案の本文4に「議事録の公表については複製版を用意し、それにより行う」とあります。"
B-40,B,"使途不明金の原因及び改善方法は、必ずどこで報告しなければならないか？","執行委員会","会計委員会","サークル代表者会議","総会",4,"第20回総会議案の本文6に「必ず総会で報告し」とあります。"
B-41,B,"執行委員長を除く各機関の長は、再任されることができるか？","できない。","1度だけならできる。","再任を妨げない。","細則に規定はない。",3,"機関における細則第3条に「各機関の長の任期は一期とし、再任を妨げない」とあります。"
B-42,B,"第17回総会議案で定義された「支出予算」とは何か？","支出された実績額の報告。","収入から支出を引いた残額。","支出される目的及び許容される支出額の上限を定めたもの。","予期せぬ事態に備えるための予算。",3,"第17回総会議案の6.3に明確に定義されています。"
B-43,B,"サークル代表者会議の議長団の構成として正しくないものはどれか？","議長1名","副議長1名","書記2名","執行委員会員1名",4,"サークルに関する細則第9条では、議長団は計4名で構成され、「最低２名の執行委員会員が補助につくものとする」とあり、執行委員は議長団の構成員ではなく補助役です。"
B-44,B,"学友会員の義務として、会則で定められていないものはどれか？","学友会費を納入すること。","会則の決定事項を遵守すること。","総会における決議事項を遵守すること。","学友会の行事に必ず参加すること。",4,"基本則第3条の2に義務が列挙されていますが、「行事への参加」は権利であって義務ではありません。"
B-45,B,"「学友会会則改正に関する議案」（第35回総会）で、サークルの正式名称について望ましくないとされた例はどれか？","活動目的に則していない名称","「～委員会」等紛らわしいもの","長すぎる名称","英語の名称",2,"第35回総会議案で改正されたサークルに関する細則第2条に明記されています。"
B-46,B,"第45回総会時点で、学友会の機関として置かれていなかった委員会はどれか？","会計委員会","サークル代表者会議","ネットワーク管理委員会","群青編集委員会",2,"第45回総会議案の基本則第16条のリストに「サークル代表者会議」は含まれていません。サークル代表者会議はサークルの代表者で構成される会議体であり、基本則上の「機関」とは位置づけが異なります。"
B-47,B,"耐久消費財の紛失が発覚してから総会で報告するまでの期間について、特例が認められるのはどのような場合か？","紛失の理由が明確な場合。","紛失した物品が高額でない場合。","総会が、発覚から3週間以内にある場合。","機関の長が多忙である場合。",3,"第42回総会議案の7-3のただし書きに「その総会が、発覚から3週間以内にある場合はその次の総会まででもよい」とあります。"
B-48,B,"総会で審議される予算に計上される「前年度仮決算報告」と、決算に計上される「本予算」。この違いを正しく説明しているのはどれか？","どちらも同じものを指す。","予算審議時は前期末の暫定決算を、決算審議時は確定した予算を示す。","予算審議時は前年度の予算を、決算審議時は今年度の予算を示す。","どちらも前年度の最終決算報告を指す。",2,"第17回総会議案の6と7の構成要素を比較することで違いが分かります。用語の正確な理解を問う問題です。"
B-49,B,"総会に関する細則の目的として、条文に書かれていることは何か？","会員の権利を守ること。","執行委員会の権限を定めること。","厳正かつ円滑に議事を運営すること。","予算の透明性を確保すること。",3,"総会に関する細則第1条に明記されています。"
B-50,B,"第17回総会議案で定義された「前年度仮決算報告」とは何か？","前年度会計年度末における一時的な決算報告","前年度の決算が確定した後の最終報告","会計監査が入る前の決算報告","総会で承認される前の決算報告案",1,"第17回総会議案の6.1に明確に定義されています。他の決算関連用語と区別できるかがポイントです。"
B-51,B,"「議長団の票は、議長委任状として扱われる」と定められている。これが意味することは何か？","議長団は投票権を持たない。","議長団の票は常に賛成票となる。","議長団の票は、決議の多数派の意見を後押しする形で使われる。","議長団は個人委任状を預かることができない。",3,"総会に関する細則第12条「議長委任状は、議長によって決議における多数意見側の票数に加算される」と組み合わせることで、この規定の意味が分かります。"
B-52,B,"第19回総会議案で失効した「サークル援助金配布方法に関する議案」が可決されたのは第何回総会か？","第7回総会","第9回総会","第12回総会","第16回総会",2,"第19回総会議案の本文10に「第9回総会で議決された…」と明記されています。"
B-53,B,"サークル代表者会議の議長団候補者がいない場合、誰が代行するか？","執行委員長","会計委員長","執行委員会の委員","総会で指名された者",3,"サークルに関する細則 第9条3項に「候補者がいない場合は執行委員会の委員が代行する」とあります。"
B-54,B,"承認を受けずに購入・修理した耐久消費財について、予備費からの執行が認められないのはなぜか？","金額が高額すぎるから。","手続き違反に対するペナルティとして。","総会の承認を得ていないから。","領収書がないから。",2,"第42回総会議案の4に「承認を受けずに購入・修理した耐久消費財については、リストへの登録のみとして予備費からの執行は行わない」とあり、これは手続きの正当性を担保するためのルール（ペナルティ）と解釈できます。"
B-55,B,"サークル代表者会議の代理人が、複数のサークルの代理人を兼任することはできるか？","できる。","できない。","議長の許可があればできる。","2つまでならできる。",2,"サークルに関する細則 第12条3項に「代理人は複数のサークルの代表者となることはできない」と明記されています。"
B-56,B,"第17回総会議案が過去の決算報告の修正を妨げないと明記しているのはなぜか？","会計ミスはいつでも訂正されるべきだから。","責任免除の規定が、過去の事実の訂正まで妨げるものではないことを明確にするため。","新しい会計基準を遡って適用するため。","不正の隠蔽を防ぐため。",2,"同議案の本文4にある責任免除の規定が、会計記録の正確性を担保するための「修正」という行為まで制限するものではない、という趣旨を明確にするための念押し規定です。"
B-7,B,"第12回総会議案によると、議案の「修正」を提出する際に記載が必要なのは「議案名」「提出者」と何か？","本文の修正事項","主旨","提出理由","修正による影響",1,"第12回総会議案の本文に「修正の場合には以下の一、二及び本文の修正事項を記載しなければならない」とあります。"
B-58,B,"総会の有効決議録はどのような形式で保管されなければならないか？","音声データ","冊子形式","文章形式","デジタル形式",3,"総会に関する細則 第23条に「文章形式で保管されなければならない」とあります。"
B-59,B,"執行委員長が、総会の審議順序を定める際に従わなければならない優先順位として、3番目に来るのは何か？","学友会全体に関する議案","学友会の予算及び決算に関する議案","細則改正に関する議案","サークルの承認及び取り消しに関する議案",4,"総会に関する細則 第19条に定められた3つの優先順位の最後がこれにあたります。"
B-60,B,"「第1回総会から第8回総会までの可決議案の取り扱いについて」の議案が可決されたのは第何回総会か？","第12回総会","第17回総会","第23回総会","第29回総会",3,"議案名の末尾に「（第23回総会）」と記載されています。"
